,Country,Years,Energy Intensity - Industry
0,Germany,2000.0,100.0
1,Germany,2005.0,104.42857142857143
2,Germany,2010.0,103.71428571428571
3,Germany,2015.0,94.85714285714286
4,Germany,2016.0,93.42857142857143
5,Germany,2017.0,93.71428571428571
6,Germany,2018.0,90.71428571428571
7,United States,2000.0,100.0
8,United States,2005.0,86.75
9,United States,2010.0,83.375
10,United States,2015.0,76.125
11,United States,2016.0,75.75
12,United States,2017.0,76.625
13,United States,2018.0,80.25
