,Country,Years,Energy Intensity - Transport
0,Germany,2000.0,100.0
1,Germany,2005.0,92.5
2,Germany,2010.0,89.5
3,Germany,2015.0,86.5
4,Germany,2016.0,86.25
5,Germany,2017.0,90.25
6,Germany,2018.0,86.25
7,United States,2000.0,100.0
8,United States,2005.0,103.25
9,United States,2010.0,109.5
10,United States,2015.0,114.25
11,United States,2016.0,110.0
12,United States,2017.0,110.75
13,United States,2018.0,109.75
