,Country,Years,Energy Intensity - Services
0,Germany,2000.0,100.0
1,Germany,2005.0,97.0
2,Germany,2010.0,91.0
3,Germany,2015.0,81.0
4,Germany,2016.0,83.0
5,Germany,2017.0,78.0
6,Germany,2018.0,71.0
7,United States,2000.0,100.0
8,United States,2005.0,90.0
9,United States,2010.0,86.0
10,United States,2015.0,81.0
11,United States,2016.0,79.0
12,United States,2017.0,76.0
13,United States,2018.0,76.0
