Peru,0.20,0.25,0.25,0.25,0.26,0.26,0.28,0.25,0.28,0.33,0.34,0.34,0.35,0.34,0.36,0.38,0.40,0.40,0.36,0.37,0.37,0.40,0.43,0.42,0.38,0.38,0.38,0.37,0.40,0.43,0.47,0.49,0.49,0.50,0.51,0.52,0.52,0.53,0.52,0.56,0.58,0.59,0.64,0.69,0.71,0.80,0.91,0.92,0.94,0.96,1021487488.00,1085283637.00,1087494338.00,1140992303.00,116148768.00,0.02,0.05,0.00
Trinidad & Tobago,0.12,0.13,0.14,0.14,0.15,0.16,0.16,0.22,0.22,0.21,0.17,0.19,0.20,0.20,0.18,0.17,0.18,0.21,0.21,0.21,0.21,0.22,0.21,0.23,0.23,0.25,0.25,0.26,0.28,0.30,0.32,0.36,0.36,0.37,0.41,0.43,0.46,0.50,0.56,0.62,0.66,0.77,0.80,0.79,0.78,0.84,0.83,0.81,0.83,0.82,0.80,0.71,0.75,0.71,0.71,0.00,-0.01,0.00
Venezuela,0.69,0.70,0.73,0.79,0.80,0.81,0.82,0.86,0.99,1022913468.00,1063254158.00,1162062483.00,1294851427.00,1323202733.00,1458366588.00,1632995049.00,1694081348.00,1727425281.00,171982526.00,1752430084.00,1798970846.00,1932255062.00,1927042502.00,2005900578.00,2022655681.00,2148937218.00,2158771921.00,2336915246.00,2311735267.00,2509695661.00,2585436265.00,2517165499.00,2660732964.00,2823658955.00,2723395827.00,2777444365.00,2943988634.00,2937563229.00,2637728442.00,2939637265.00,3067399719.00,3410002769.00,3430588808.00,3545639466.00,3530333341.00,3328708662.00,3480513761.00,3623217045.00,3533462347.00,3414756911.00,3294575563.00,2989410573.00,2855198209.00,245407331.00,2226839267.00,-0.09,-0.04,0.00
Central America,0.18,0.19,0.20,0.20,0.22,0.22,0.24,0.26,0.27,0.28,0.30,0.32,0.32,0.33,0.34,0.33,0.34,0.34,0.34,0.34,0.35,0.36,0.38,0.38,0.41,0.42,0.44,0.49,0.52,0.55,0.60,0.61,0.64,0.71,0.74,0.77,0.79,0.81,0.84,0.87,0.88,0.92,0.97,0.99,0.97,1011050911.00,1062634386.00,1100076441.00,1109596117.00,114573234.00,1247878332.00,1303080895.00,1341144658.00,1396077793.00,1416958659.00,0.01,0.04,0.00
Other Caribbean,0.79,0.82,0.85,0.87,0.89,1023813626.00,1058880209.00,1130280717.00,1218605193.00,1211736526.00,1178788965.00,1201134805.00,1260209857.00,1293669256.00,1334596928.00,1499631256.00,1516097619.00,1325336891.00,1275794399.00,1351241861.00,1270850901.00,1252440577.00,1302493702.00,131640339.00,1368237061.00,1348858497.00,1317976831.00,1249662576.00,1251367462.00,1309109133.00,1311016022.00,1358943948.00,143773244.00,1491815093.00,1452206372.00,1647010659.00,1679524033.00,1705688269.00,1739348167.00,1755369499.00,1758947442.00,1803232037.00,1746672311.00,1686257929.00,1574145723.00,1556945138.00,1575599805.00,1568244176.00,1537296965.00,1518721598.00,1556121159.00,1606562432.00,1572166652.00,1633509801.00,1682142249.00,0.03,0.00,0.00
Other South America,0.11,0.13,0.14,0.14,0.15,0.16,0.18,0.19,0.20,0.19,0.21,0.21,0.22,0.25,0.26,0.28,0.26,0.25,0.24,0.24,0.28,0.37,0.44,0.47,0.51,0.55,0.58,0.59,0.64,0.72,0.80,0.84,0.91,0.95,0.95,0.93,0.86,0.89,0.93,0.92,0.93,0.93,1.00,1024277357.00,1054152503.00,1103433442.00,1121483182.00,1149250592.00,1187659452.00,1154633825.00,1186498482.00,1271634458.00,1267671462.00,1276416502.00,1217054911.00,-0.05,0.02,0.00
Total S. & Cent. America,4803843752.00,5083908385.00,5290255646.00,5608899754.00,58586777.00,6243044302.00,6579271373.00,712298899.00,7821090737.00,8221731515.00,8332192134.00,8887310226.00,9419465312.00,9949664739.00,1057790787.00,1107003485.00,1104714182.00,1115285398.00,1122783679.00,1171192513.00,120456658.00,128326367.00,1331645557.00,1375292273.00,1398577971.00,1403561899.00,1442445774.00,150988037.00,1568015318.00,1658797255.00,1732443221.00,1806747881.00,1899574019.00,197001235.00,1963683521.00,2017281448.00,201656869.00,203763794.00,2059120066.00,2164939189.00,2236105882.00,2352038272.00,2442025815.00,251651274.00,2481547918.00,2615694962.00,2726197468.00,2792924698.00,2853478362.00,2876141602.00,288009374.00,2850012043.00,2861420407.00,2852896619.00,2860875103.00,0.00,0.01,0.05
Austria,0.67,0.70,0.71,0.76,0.79,0.90,0.90,0.93,1001043437.00,1004010736.00,1.00,1033949196.00,1033673762.00,1078992568.00,1141854858.00,1136365131.00,1101570941.00,1064824802.00,1062036638.00,1053564713.00,1106204563.00,1117305711.00,1178286114.00,1160539283.00,1167225091.00,1186336944.00,1245317963.00,1223106121.00,1243950415.00,1236874111.00,1296669094.00,1300609959.00,1327150753.00,1347876676.00,1377038771.00,1381299671.00,1432764567.00,1435921165.00,1454604574.00,1478984876.00,150418569.00,1487180442.00,1452641351.00,1481570726.00,1431511869.00,1479997907.00,1385911852.00,145369455.00,1444243301.00,1384155215.00,1386310136.00,1432172193.00,1466421231.00,1437320233.00,149983817.00,0.04,0.00,0.00
Belgium,1486412891.00,143209812.00,1503383811.00,1675330616.00,1838636318.00,1942356809.00,1905517316.00,2025719899.00,205287372.00,1982469539.00,1863168411.00,1976171914.00,1979088204.00,2065748686.00,2125688498.00,2034657273.00,1934424466.00,1849915955.00,1790855777.00,1871088027.00,195202044.00,2013335228.00,2073728959.00,2114959729.00,2131103576.00,2258301465.00,2336223403.00,2327685365.00,2290655599.00,2418020891.00,2439250665.00,2593230233.00,2617174505.00,2669783877.00,2647815152.00,2707791648.00,2685820209.00,2674818298.00,2775891608.00,2785302111.00,2753213388.00,2758991492.00,277573226.00,2823449758.00,2637866731.00,2808521433.00,2617703107.00,2515726863.00,2580440211.00,2404520572.00,2439036515.00,2627340032.00,2657444242.00,258858232.00,2712698803.00,0.05,-0.01,0.00
Bulgaria,0.43,0.46,0.54,0.60,0.67,0.75,0.78,0.81,0.84,0.86,0.95,1008635194.00,1062513449.00,1100691947.00,1142248279.00,1205849771.00,1187428371.00,1216574054.00,1224327295.00,1217173582.00,1208496075.00,1232987534.00,1242349636.00,1270604578.00,1259768342.00,1162042861.00,0.94,0.89,0.94,0.91,0.97,0.97,0.92,0.88,0.77,0.78,0.81,0.79,0.81,0.79,0.85,0.87,0.84,0.83,0.73,0.76,0.80,0.76,0.71,0.75,0.80,0.76,0.77,0.77,0.75,-0.03,-0.01,0.00
