Sweden,,,122,176,220,209,295,357,417,475,522,585,823,1089,1475,2017,2764,3606,4194,5088,5819,6435,6611,7300,8888,0.217534247,0.245288122,0.014273227
Turkey,,,9,9,9,19,19,19,19,19,21,59,146,364,792,1320,1729,2261,2760,3630,4503,5751,6516.15,7005.35,7591.15,0.083621803,0.344103913,0.012190618
Ukraine,,,,,,5,36.2,46.2,54.4,71.4,76.6,76.6,82,83,86,88,146,248,362,513.9,513.9,526,553,620.77,1257.77,1.026.144.949,0.222884,0.002019851
United Kingdom,,,328,338,362,412,493,534,742,933,1565,1955,2477,3446,4422,5421.2,6596.3,9030.4,11282.3,13074,14.305.634,16.125.696,19.584.758,21.770.378,24.127.878,0.108289346,0.202416895,0.038746927
Other Europe,,,20,22,25,21.385,22.603,50.581,72.336,107.872,156.396,234.856,368.997,524.378,763.41,1.030.161,1.323.266,1.624.712,1.719.338,1.892.336,2.217.902,2472.15,2744.42,2.917.987,3.372.293,0.155691578,0.198576071,0.005415561
Total Europe,,,4810,6383.1,9279.8,12.749.885,17.411.903,23.307.081,28.169.936,34.337.372,40.701.315,47.973.925,56.482.856,64.415.552,76.595.795,86.236.389,96.439.363,109443.61,121.014.386,133.814.392,147.516.307,161.487.023,177.129.181,188.874.513,203.482.723,0.077343469,0.113898206,0.32677263
Russian Federation,,,,,,3,3,7,9,9,10,10,10,10,10,10,10,10,10,10,10.9,10.9,10.9,51.9,101.9,0.963391137,0.179007956,0.000163641
Other CIS,,,,,,0,0,0,0,0,2.6,2.6,2.6,2.6,4.6,4.64,2.64,4.14,9.34,58.15,82.355,137.485,152.475,211.825,374.175,0.766434557,0.552745884,0.000600887
Total CIS,,,,,,3,3,7,9,9,12.6,12.6,12.6,12.6,14.6,14.64,12.64,14.14,19.34,68.15,93.255,148.385,163.375,263.725,476.075,0.805194805,0.355433064,0.000764528
Iran,,,9,9,9,11,11,12,16,24.9,37,47,63,63,92,95,98.2,106.1,107.6,148.8,153.44,190.94,259,282,302.2,0.071631206,0.161691618,0.000485303
Jordan,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,118.4,184.4,198.4,284.5,373.5,0.312829525,0.701356887,0.000599803
Other Middle East,,,0,0,0,0,0,6,6,6.6,6.6,6.6,6.6,7.3,7.3,7.3,7.3,7.8,10.2,12,14.38,34.78,47.53,47.53,47.53,-1.22E-10,0.20604773,7.63E+00
Total Middle East,,,9,9,9,12.4,12.4,19.4,23.4,32.9,45,55,71,71.7,100.7,103.7,106.9,115.3,119.2,162.2,286.22,410.12,504.93,614.03,723.23,0.177841474,0.239558545,0.001161434
Egypt,,,6,6,36,69,69,69,69,145,145,230,310,390,435,550,550,550,550,550,750,750,750,1125,1375,0.222222222,0.111754233,0.002208111
Morocco,,,0,2,20,54,54,54,54,54,54,54,114,114,221,221,255,255,495,797,797,897,1017,1220,1220,0,0.267492791,0.001959196
South Africa,,,0,0,0,0,0,3.2,3.2,3.2,3.2,3.2,3.2,8.4,8.4,10.16,10.16,10.16,257,569,1079,1473,2094,2094,2094,0,0.736479814,0.003362752
Tunisia,,,0,2,8,10,10,10,19,19,19,19,19,19,53,53,53,173,200,233,240,245,245,245,245,0,0.291341917,0.000393445
Other Africa,,,0,0,0,0.4,0.4,3.46,5.04,4.96,5.18,4.88,5.72,5.72,6.65,12.317,108.522,121.814,222.204,233.768,437.649,448.125,453.974,764.264,814.264,0.065422419,0.631491207,0.001307625
Total Africa,,,6,10,64,133.4,133.4,139.66,150.24,226.16,226.38,311.08,451.92,537.12,724.05,846.477,976.682,1.109.974,1.724.204,2.382.768,3.303.649,3.813.125,4.559.974,5.448.264,5.748.264,0.055063411,0.260720115,0.009231129
Australia,,,4,10,10,33,76,106,190,379,740,819,1249,1441,1703,1864,2127,2561,3221,3797,4234,4327,4816,5818,7272,0.24991406,0.149770002,0.011678095
China,,,146,200,262,341,383,449,547,763,1060,2070,4200,8.387.728,17.599.408,29.633.478,46354.6,61.596.873,76730.53,96819.13,131047.73,148516.89,164.374.477,184.664.877,210478.38,0.139785667,0.362303888,0.338006946
India,,,940,992,1035,1267,1456,1702,2125,3000,4433.9,6315,7844.5,10242.5,10925,13184,16179,17299.7,18420.4,22465.3,25088.19,28700.44,32848.46,35288.1,37505.18,0.062827979,0.131676325,0.060229518
Japan,,,17,30,68,84,175,277,508,769,1227,1805,1527,1756,1997,2294,2419,2562,2646,2753,2808,3247,3483,3667,3786,0.032451595,0.076412271,0.006079932
New Zealand,,,4.075,4.075,35.755,36,36,54,72,166,168,169,320,322,497,524,524,623,623,682,689,689,689,689,689,0,0.079036996,0.001106464
Pakistan,,,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,56.155,106.055,205.555,308.355,590.655,789.155,1.185.855,1.235.855,0.042163671,0.696633484,0.001984658
Philippines,,,0,0,0,0,0,0,0,0,33,33,33,33,33,33,33,33,33,336.9,426.9,426.9,426.9,426.9,426.9,0,0.291758183,0.000685558
South Korea,,,1,1,5,7,11,13,19,29,99,178,196,304,351,382,425,464,576,612,847,1067,1215,1420.33,1.512.221,0.064696937,0.166679502,0.002428474
Taiwan,,,1,1,1,2.6,5,8.5,8.5,8.5,23.9,102,186,250.4,374.3,475.9,522.7,571,614.2,637.2,646.7,682,692,713.191,845.2,0.185096279,0.110342985,0.001357306
Thailand,,,0,0,0,0,0,0,0,0,0,0.3,0.9,1.1,5.1,5.6,7.3,111.7,222.7,224.5,233.9,507.04,627.82,1102.82,1506.82,0.366333581,0.995773239,0.0024198
Other Asia Pacific,,,4,4,6,7,7.6,9.8,14.4,25.8,25.8,32.2,47.3,54.126,66.646,117.176,128.041,161.274,237.414,279.004,373.816,398.291,493.719,656.645,795.84,0.211979075,0.283489945,0.001278038
Total Asia Pacific,,,1.117.075,1.242.075,1.422.755,1777.6,2149.6,2619.3,3483.9,5140.3,7810.6,11523.5,15603.7,22.797.854,33.557.454,48.519.154,68.725.641,86.039.702,103.430.299,128.811.589,166.703.591,189.152.216,210.455.531,235.632.718,266.053.396,0.129102097,0.263089609,0.427254789
Total World,4778,6070,7.623.075,9.936.175,13.426.555,17303.7,23976.4,30979.46,38391.74,46910.76,58441.38,73151.98,91496.22,115.347.574,150.165.004,180.923.871,220.120.263,267.096.716,300.286.743,349.671.007,416.275.962,466.826.631,514.401.659,563819.98,622.704.304,0.104438165,0.171961108,1
