Peru,12.111,12.948,14.006,13.552,13.727,13.808,14.482,13.122,14.808,15.866,168.801,172.798,179.534,185.825,190.496,199.227,207.857,219.823,229.234,24.267,255.097,273.698,29.943,324.631,329.447,35.908,388.065,41.036,433.302,455.498,48.27,51.662,5.270.005.332,5.489.315.716,5.729.916.167,0.043830682,0.053932561,0.002121825
Trinidad & Tobago,3.023,3.291,3.481,3.485,3.428,3.577,3.72,3.976,3.817,4.069,4.307,4.541,4.988,5.169,5.247,5.459.127,5.643.635,5.643.965,6.437.498,6.430.175,7.058.339,7.170.686,7.675.881,771.113,7.823.535,8.485.004,8.772.004,9.132.004,9.505.004,9.895.488,10.301.151,10.713.151,11.034.435,1.056.425.394,1.110.181.235,0.050884654,0.031981901,0.000411107
Venezuela,47.29,50.112,54.132,58.245,57.62,59.321,63.337,67.44,69.382,71.221,73.446,75.588,78.066,80.904,80.585,85.211,90.117,893.949,900.603,968.695,10.436.079,11.064.354,11.369.732,11.931.733,12.484.439,1.167.162,12.289.773,12.785.427,1.300.234,12.833.705,12.375.483,1.138.372.428,1.094.039.799,1.051.433.643,848.754.648,-0.192764418,-0.012566552,0.003142993
Central America,111.554.377,115.762.383,126.470.576,129.869.298,138.860.209,1.449.357.286,1.527.223.671,1.728.116.932,1.822.916.737,1.877.190.616,1.981.855.389,2.010.994.615,2.109.661.239,2.322.481.703,247.468.438,2.661.770.186,2.849.924.871,3.011.721.502,321.477.555,3.397.423.122,3.582.720.606,3.795.423.556,3.997.160.331,4.088.697.301,415.927.145,4.303.582.882,4.444.450.053,4.626.259.914,4.772.890.231,4.908.596.242,5.189.973.881,5.359.786.054,5.407.064.508,5.689.025.178,5.771.392.114,0.014478216,0.033582838,0.002137184
Other Caribbean,3.544.307.837,3.757.430.357,3.970.092.088,4.054.145.643,4.105.311.426,4.342.241.543,4.225.661.928,4.509.657.294,4.538.929.169,486.050.242,5.117.832.502,5.401.795.264,5.729.344.159,6.146.341.734,6.502.513.269,6.742.739.483,681.646.881,7.128.858.713,7.321.991.516,7.116.568.813,7.381.020.861,758.856.906,7.612.058.451,7.301.806.718,7.252.628.897,737.485.887,741.388.722,7.597.825.341,7.666.654.651,7.599.244.583,7.781.889.572,8.007.293.465,7.614.139.642,7.825.495.637,8.201.613.227,0.048063101,0.00695057,0.00303711
Other South America,1.182.385.007,2.083.437.025,26.975.184,2.914.025.791,3.336.810.573,3.711.274.916,397.185.196,3.973.632.598,4.339.478.315,4.854.775.819,5.404.208.855,5.738.658.985,6.424.765.649,6.695.545.096,6.584.311.714,6.750.989.411,6.132.936.803,6.492.080.752,6.751.413.646,6.528.491.705,66.650.481,675.633.239,7.186.130.599,7.368.294.262,7.353.504.604,7.522.827.728,7.884.466.247,8.231.072.804,8.411.346.864,8.084.094.704,8.267.669.905,9.114.973.279,8.797.507.107,8.683.331.005,7.887.079.673,-0.091698834,0.016557478,0.002920636
Total S. & Cent. America,4.078.049.923,4.389.719.347,4.610.901.826,4.834.322.662,4.962.848.806,5.085.523.076,5.340.779.269,5.506.802.432,5.820.075.339,6.111.876.146,6.463.818.316,6.788.031.705,717.648.455,7.488.858.751,7.724.345.023,8.087.073.371,7.963.786.804,82.127.783,8.611.484.707,9.018.712.353,9.431.974.084,9.883.776.551,103.410.648,1.071.620.316,1.082.899.219,1.140.417.977,1.181.067.525,123.141.028,1.267.692.693,1.287.466.167,129.688.237,1.306.631.996,1.307.996.819,1.330.998.232,1.329.333.286,-0.0012509,0.021912365,0.049226069
Austria,44.535,44.653,50.518,49.024,50.174,50.414,51.484,51.18,52.675,53.309,56.587,54.835,56.851,57.437,60.369,61.798,6.225.306.178,6.245.202.827,6.061.763.381,648.566.822,6.673.528.596,6.436.442.955,6.485.304.131,6.692.725.546,6.906.263.581,7.107.015.613,6.585.443.541,723.903.452,6.803.699.449,6.510.910.418,6.494.729.551,6.791.937.508,7.071.000.928,6.798.464.633,7.344.620.437,0.080335169,0.001568789,0.00271976
Belgium,57.322,58.676,63.367,65.349,67.547,70.923,71.936,72.225,70.834,72.179,74.408,76.099,78.833,83.183,84.514,84.012,79.821,82.069,84.63,85.643,87.025,85.617,88.822,84.93,91.235,95.189.428,90.240.934,82.923.093,8.347.462,725.822,697.551,857.054,86.641.567,7.493.765.668,9.357.747.652,0.248737693,-0.012439074,0.003465234
Bulgaria,41.632,41.82,43.473,45.021,44.331,42.141,40.862,35.61,37.997,38.133,41.789,42.716,42.803,41.711,38.248,40.924,43.968,42.679,42.6,41.621,44.365,45.843,43.297,45.037,42.964,46.653,50.797,47.329,43.784,47.485,49.228,45.277,45.578.783,468.377,43.31,-0.075317533,0.003928101,0.001603797
Croatia,n/a,n/a,n/a,n/a,n/a,8.748,8.941,8.902,9.564,8.773,9.276,11.173,10.248,11.462,12.979,11.281,12.809,12.772,13.252,13.99,13.162,13.047,12.709,12.891,13.455,14.902,11.373,10.755,14.052,13.554,11.403,12.82,119.835,136.317,1.261.708.114,-0.074430838,0.005602493,0.000467219
Cyprus,1.319,1.423,1.501,1.647,1.831,1.974,2.077,2.43,2.59,2.685,2.497,2.609,2.728,2.991,3.139,3.37,3.551,3.785,4.052,4.201,4.377,4.652,4.871,5.079,5.215,5.322,4.929,4.717,4.29,4.352,453.459,488.801,500.437,504.888,514.048,0.018142638,-0.000594619,0.000190355
Czech Republic,58.121,60.606,62.196,64.334,65.131,62.56,60.528,59.293,58.882,58.705,60.847,64.257,64.598,64.93,64.692,73.466,746.472,76.348,832.266,843.331,825.786,843.609,880.238,835.164,82.25,859.001,875.606,875.737,870.649,860.034,838.884,833.019,870.376,880.018,869.806,-0.011604308,0.005245133,0.003220948
Denmark,2.914.304.444,3.078.308.889,2.948.931.111,280.695,2.293.352.222,2.597.718.889,365.405,3.073.337.778,3.396.900.278,4.019.660.556,3.666.305,5.357.758.056,4.431.163.611,4.111.068.889,3.891.459.444,3.604.884.167,3.772.620.833,3.928.264.444,4.617.945.833,4.043.985,3.624.135,4.560.229.167,3.931.546.944,3.661.614.722,36.384.475,3.886.278.889,3.522.922.778,3.070.193.333,3.474.216.667,3.218.255,2.893.433.333,3.053.554.444,31.039.275,3.037.500.556,3.047.623.481,0.00333265,-0.018513406,0.001128555
Estonia,17.827,17.951,17.9,17.627,17.611,17.181,14.627,11.829,9.118,9.152,8.693,9.103,9.218,8.521,8.265,8.513,8.484,8.527,10.159,10.304,10.205,9.731,12.19,10.581,8.78,12.964,12.893,11.967,13.275,12.446,10.417,12.176,13.15,12.326,7.57,-0.385851047,0.015382198,0.000280322
Finland,49.394,48.948,53.016,53.491,53.359,5.427.680.272,5.797.940.691,5.763.529.982,6.098.231.106,6.553.552.633,6.441.392.651,6.909.025.026,6.914.546.802,7.043.595.428,6.940.708.052,7.047.378.245,7.481.195.199,75.371.793,8.474.040.092,86.285.214,7.083.803.269,8.266.136.594,8.168.146.384,7.780.262.833,725.470.528,8.105.219.538,736.985.886,7.047.964.794,7.139.932.504,6.821.999.621,6.879.901.496,6.881.480.395,6.708.501.694,701.754.979,6.869.391.536,-0.021112533,-0.010264556,0.00254378
France,343.482.849,362.225.286,3.778.674.426,3.916.284.679,4.061.396.719,420.751,455.555,463.639,472.707,476.868,494.274,513.398,504.77,511.276,525.806,539.954,549.531,559.064,566.838,574.054,576.062,574.869,569.768,573.812,535.937,569.29,564.985,564.475,573.846,564.154,570.323,556.184,5.540.746.533,5.741.695.406,5.554.258.243,-0.032644916,6.23E+00,0.020567777
Germany,522.534,523.557,532.442,549.492,559.873,549.9,540.222,5.381.657,527.118,5.284.692,536.821,552.669,552.324,557.217,556.301,576.556,5.864.115,586.688,608.78,6.174.652,622.575,6.395.665,640.578,640.686,595.624,633.093,613.070.326,630.149,638.73,6.277.651.018,6.481.492.806,650.707.344,6.536.547,643.45,6.123.973.249,-0.048259655,0.000430577,0.022677468
Greece,27.74,28.237,30.272,33.394,34.456,35.003,35.813,37.41,38.396,40.623,41.551,42.557,43.505,46.329,49.62,53.843,53.704,54.608,58.478,59.346,60.02,60.789,63.496,63.749,61.365,57.392,59.436,60.959,57.152,50.474,51.874,54.437.935,55.266.089,53.262.785,502.001.123,-0.057501175,-0.017811037,0.001858943
Hungary,26.794,28.044,29.749,29.233,29.596,28.436,29.963,31.685,32.915,33.515,34.018,35.09,35.397,37.19,37.832,35.191,36.415,36.157,34.145,33.708,35.756,35.859,39.96,40.025,35.908,37.371,36.019,34.635,30.294,29.403,30.36,31.902,32.885,32.004,33.936,0.060367454,-0.022116109,0.001256672
