Other Europe,4.9,5.2,5.4,6,8.648,10.058,11.722,25.593,37.313,37.626,40.551,42.406,46.567,57.228,113.352,677.981,852.246,1.055.245,1.213.386,1.322.599,1452.68,1.707.917,1.791.229,2.063.509,0.152007365,0.440480174,0.003518817
Total Europe,66.9,87.3,105.4,131.5,199.848,300.458,386.522,625.893,1.338.213,2.318.626,3.281.451,5.055.606,10.524.467,17.127.928,30.888.052,54.772.491,73.862.346,84.333.538,91.227.032,99.916.251,107.006.014,116027.92,126.663.192,146.666.221,0.157922982,0.282463554,0.250103848
Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.3,5,61.32,76.32,275.12,535.32,1063.82,0.987259957,---,0.001814088
Other CIS,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.31,1.023,0.993,2.459,8.57,63.186,85.78,93.05,264.982,632.756,1.387.920.689,1.199.488.205,0.001079013
Total CIS,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.31,1.023,1.093,3.759,13.57,124.506,162.1,368.17,800.302,1.696.576,111.991.973,1.456.548.768,0.002893101
Israel,0,0.3,0.3,0.4,0,0,0,0,0,1,1.3,1.8,9,30.6,76,195.8,242.8,426.1,676.1,771.85,872.1,975.1,1076.1,1438.1,0.336399963,0.613470436,0.002452333
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.221,28.942,297.553,471.453,828.553,998.156,0.204697829,---,0.001702114
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10.8,12.6,14.4,130,134.329,134.659,141.959,354.759,593.659,1.883.359,2.172.459.274,---,0.003211614
Other Middle East,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,1.4,1.6,4.1,6.1,17.8,61.4,94.567,167.729,276.961,479.719,813.322,1.262.887,0.552751555,0.889789573,0.002153549
Total Middle East,0,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,1.4,1.7,2.3,10.4,42.2,90.9,214.5,275.1,617.6,905.217,1103.18,1.588.573,2.281.031,3.311.634,5.582.502,0.685724328,0.779511911,0.00951961
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,26.1,74.1,244.1,425,448,448,0,---,0.000763956
Egypt,0.1,0.1,0.1,0.1,0.1,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.9,1.3,15,35,35,35,35,45,68,189,771,1668,1.163.424.125,0.964631879,0.002844371
