Japan,Freight trucks,Vehicle-kilometres energy intensity (index 2000)               ,100,92,86,88,87,86,85
Korea,Cars/light trucks,Passenger-kilometres energy intensity (index 2015)          ,..,..,..,100,108,112,116
Korea,Cars/light trucks,Vehicle-kilometres energy intensity (index 2005)            ,..,100,113,117,122,120,119
Korea,Freight trucks,Tonne-kilometres energy intensity (index 2005)                 ,..,100,94,84,85,82,76
Korea,Freight trucks,Vehicle-kilometres energy intensity (index 2005)               ,..,100,102,118,120,116,113
Luxembourg,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)     ,100,112,106,100,105,97,100
Luxembourg,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)       ,..,..,..,..,..,..,..
Luxembourg,Freight trucks,Tonne-kilometres energy intensity (index 2000)            ,100,256,211,235,203,188,219
Luxembourg,Freight trucks,Vehicle-kilometres energy intensity (index 2000)          ,..,..,..,..,..,..,..
Mexico,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)         ,..,..,..,..,..,..,..
Mexico,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)           ,..,..,..,..,..,..,..
Mexico,Freight trucks,Tonne-kilometres energy intensity (index 2000)                ,..,..,..,..,..,..,..
Mexico,Freight trucks,Vehicle-kilometres energy intensity (index 2000)              ,..,..,..,..,..,..,..
Netherlands,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)    ,100,100,104,105,104,106,101
Netherlands,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)      ,100,99,95,90,88,87,86
Netherlands,Freight trucks,Tonne-kilometres energy intensity (index 2000)           ,100,99,102,95,95,95,94
Netherlands,Freight trucks,Vehicle-kilometres energy intensity (index 2000)         ,100,100,105,101,103,100,98
New Zealand,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)    ,100,101,104,96,95,95,95
New Zealand,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)      ,100,99,101,94,91,90,90
New Zealand,Freight trucks,Tonne-kilometres energy intensity (index 2000)           ,100,90,87,89,90,95,102
New Zealand,Freight trucks,Vehicle-kilometres energy intensity (index 2000)         ,100,103,117,118,112,115,115
Poland,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)         ,100,94,121,116,127,151,153
Poland,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)           ,..,..,..,..,..,..,..
Poland,Freight trucks,Tonne-kilometres energy intensity (index 2000)                ,100,118,89,63,65,65,62
Poland,Freight trucks,Vehicle-kilometres energy intensity (index 2000)              ,..,..,..,..,..,..,..
Portugal,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)       ,100,101,110,97,97,96,97
Portugal,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)         ,100,97,102,97,97,97,97
Portugal,Freight trucks,Tonne-kilometres energy intensity (index 2000)              ,100,87,103,91,87,91,96
Portugal,Freight trucks,Vehicle-kilometres energy intensity (index 2000)            ,100,102,95,102,104,106,104
Slovak Republic,Cars/light trucks,Passenger-kilometres energy intensity (index 2000),100,101,113,136,139,143,..
Slovak Republic,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)  ,100,106,97,98,97,96,96
Slovak Republic,Freight trucks,Tonne-kilometres energy intensity (index 2000)       ,100,100,111,66,74,96,92
Slovak Republic,Freight trucks,Vehicle-kilometres energy intensity (index 2000)     ,..,..,..,..,..,..,..
Spain,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)          ,100,110,119,128,130,135,139
Spain,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)            ,100,98,105,100,101,101,104
Spain,Freight trucks,Tonne-kilometres energy intensity (index 2000)                 ,100,107,106,88,86,78,74
Spain,Freight trucks,Vehicle-kilometres energy intensity (index 2000)               ,100,84,69,54,51,48,46
Sweden,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)         ,100,102,97,..,..,..,..
Sweden,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)           ,100,100,95,..,..,..,..
Sweden,Freight trucks,Tonne-kilometres energy intensity (index 2000)                ,100,111,123,..,..,..,..
Sweden,Freight trucks,Vehicle-kilometres energy intensity (index 2000)              ,100,101,94,..,..,..,..
Switzerland,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)    ,100,98,91,84,82,80,78
Switzerland,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)      ,100,96,91,83,81,79,77
Switzerland,Freight trucks,Tonne-kilometres energy intensity (index 2000)           ,100,87,84,85,88,86,85
Switzerland,Freight trucks,Vehicle-kilometres energy intensity (index 2000)         ,100,98,95,89,88,86,85
Turkey,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)         ,..,..,..,..,..,..,..
Turkey,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)           ,..,..,..,..,..,..,..
Turkey,Freight trucks,Tonne-kilometres energy intensity (index 2000)                ,..,..,..,..,..,..,..
Turkey,Freight trucks,Vehicle-kilometres energy intensity (index 2000)              ,..,..,..,..,..,..,..
United Kingdom,Cars/light trucks,Passenger-kilometres energy intensity (index 2000) ,100,97,91,86,85,84,86
United Kingdom,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)   ,100,97,89,82,82,81,82
United Kingdom,Freight trucks,Tonne-kilometres energy intensity (index 2000)        ,100,106,118,119,120,122,121
United Kingdom,Freight trucks,Vehicle-kilometres energy intensity (index 2000)      ,100,96,90,84,85,84,85
United States,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)  ,100,96,90,92,87,87,86
United States,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)    ,100,99,95,97,92,91,90
United States,Freight trucks,Tonne-kilometres energy intensity (index 2000)         ,100,109,143,143,141,145,144
United States,Freight trucks,Vehicle-kilometres energy intensity (index 2000)       ,100,109,110,125,120,120,119
Brazil,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)    ,100,98,93,99,99,99,99
Brazil,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)      ,..,..,..,..,..,..,..
Brazil,Freight trucks,Tonne-kilometres energy intensity (index 2000)           ,100,88,72,67,66,64,63
Brazil,Freight trucks,Vehicle-kilometres energy intensity (index 2000)         ,100,96,97,82,80,80,80
Chile,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)     ,..,..,..,..,..,..,..
Chile,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)       ,..,..,..,..,..,..,..
Chile,Freight trucks,Tonne-kilometres energy intensity (index 2000)            ,..,..,..,..,..,..,..
Chile,Freight trucks,Vehicle-kilometres energy intensity (index 2000)          ,..,..,..,..,..,..,..
Lithuania,Cars/light trucks,Passenger-kilometres energy intensity (index 2000) ,100,101,117,171,178,153,168
Lithuania,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)   ,..,..,..,..,..,..,..
Lithuania,Freight trucks,Tonne-kilometres energy intensity (index 2000)        ,100,65,58,57,51,43,41
Lithuania,Freight trucks,Vehicle-kilometres energy intensity (index 2000)      ,..,..,..,..,..,..,..
Morocco,Cars/light trucks,Passenger-kilometres energy intensity (index 2005)   ,..,..,..,..,..,..,..
Morocco,Cars/light trucks,Vehicle-kilometres energy intensity (index 2005)     ,..,100,73,61,59,58,56
Morocco,Freight trucks,Tonne-kilometres energy intensity (index 2005)          ,..,..,..,..,..,..,..
Morocco,Freight trucks,Vehicle-kilometres energy intensity (index 2005)        ,..,100,60,51,50,49,47
Azerbaijan,Cars/light trucks,Passenger-kilometres energy intensity (index 2005),..,..,..,..,..,..,..
Azerbaijan,Cars/light trucks,Vehicle-kilometres energy intensity (index 2005)  ,..,..,..,..,..,..,..
Azerbaijan,Freight trucks,Tonne-kilometres energy intensity (index 2005)       ,..,..,..,..,..,..,..
Azerbaijan,Freight trucks,Vehicle-kilometres energy intensity (index 2005)     ,..,..,..,..,..,..,..
Belarus,Cars/light trucks,Passenger-kilometres energy intensity (index 2010)   ,..,..,..,..,..,..,..
Belarus,Cars/light trucks,Vehicle-kilometres energy intensity (index 2010)     ,..,..,..,..,..,..,..
Belarus,Freight trucks,Tonne-kilometres energy intensity (index 2016)          ,..,..,..,..,100,105,102
Belarus,Freight trucks,Vehicle-kilometres energy intensity (index 2010)        ,..,..,..,..,..,..,..
Kazakhstan,Cars/light trucks,Passenger-kilometres energy intensity (index 2010),..,..,..,..,..,..,..
Kazakhstan,Cars/light trucks,Vehicle-kilometres energy intensity (index 2010)  ,..,..,..,..,..,..,..
Kazakhstan,Freight trucks,Tonne-kilometres energy intensity (index 2010)       ,..,..,..,..,..,..,..
Kazakhstan,Freight trucks,Vehicle-kilometres energy intensity (index 2010)     ,..,..,..,..,..,..,..
Kyrgyzstan,Cars/light trucks,Passenger-kilometres energy intensity (index 2010),..,..,..,..,..,..,..
Kyrgyzstan,Cars/light trucks,Vehicle-kilometres energy intensity (index 2010)  ,..,..,..,..,..,..,..
Kyrgyzstan,Freight trucks,Tonne-kilometres energy intensity (index 2010)       ,..,..,..,..,..,..,..
Kyrgyzstan,Freight trucks,Vehicle-kilometres energy intensity (index 2010)     ,..,..,..,..,..,..,..
